title;title_details;"	IMDb Rating"
Grandes momentos da Segunda Guerra em cores;116. Grandes momentos da Segunda Guerra em cores (2019);8,6
Top Gear;117. Top Gear (2002);8,6
Berserk;118. Berserk (1997);8,6
Primal;119. Primal (2019);8,6
Segunda Guerra Mundial em Cores;120. Segunda Guerra Mundial em Cores (2009);8,6
Downton Abbey;121. Downton Abbey (2010);8,6
Westworld;122. Westworld (2016);8,6
Haikyuu!!;123. Haikyuu!! (2014);8,6
Os Pistoleiros do Oeste;124. Os Pistoleiros do Oeste (1989);8,6
Line of Duty;125. Line of Duty (2012);8,6
Atlanta;126. Atlanta (2016);8,6
Deadwood: Cidade Sem Lei;127. Deadwood: Cidade Sem Lei (2004);8,6
This Is Us;128. This Is Us (2016);8,6
Jornada nas Estrelas: A Nova Geração;129. Jornada nas Estrelas: A Nova Geração (1987);8,6
The Bridge;130. The Bridge (2011);8,6
Parks & Recreation: Confusões de Leslie;131. Parks & Recreation: Confusões de Leslie (2009);8,6
Blackadder II;132. Blackadder II (1986);8,6
The Memoirs of Sherlock Holmes;133. The Memoirs of Sherlock Holmes (1994);8,6
O Gambito da Rainha;134. O Gambito da Rainha (2020);8,6
Succession;135. Succession (2018);8,6
A Maldição da Residência Hill;136. A Maldição da Residência Hill (2018);8,6
Arquivo X;137. Arquivo X (1993);8,6
Código Geass;138. Código Geass (2006);8,6
Ouro e Sangue;139. Ouro e Sangue (2015);8,6
Mad Men: Inventando Verdades;140. Mad Men: Inventando Verdades (2007);8,6
The Eric Andre Show;141. The Eric Andre Show (2012);8,6
Battlestar Galactica;142. Battlestar Galactica (2003);8,6
Sa-rang-eui bul-sa-chak;143. Sa-rang-eui bul-sa-chak (2019);8,6
Friday Night Lights;144. Friday Night Lights (2006);8,6
Fórmula 1: Dirigir para Viver;145. Fórmula 1: Dirigir para Viver (2019);8,6
Peep Show;146. Peep Show (2003);8,6
Cobra Kai;147. Cobra Kai (2018);8,6
Priklyucheniya Sherloka Kholmsa i doktora Vatsona: Sobaka Baskerviley;148. Priklyucheniya Sherloka Kholmsa i doktora Vatsona: Sobaka Baskerviley (1981);8,6
Gomorra: La serie;149. Gomorra: La serie (2014);8,6
Rurouni Kenshin: Meiji Kenkaku Romantan: Tsuioku Hen;150. Rurouni Kenshin: Meiji Kenkaku Romantan: Tsuioku Hen (1999);8,6
Mister Rogers' Neighborhood;151. Mister Rogers' Neighborhood (1968);8,6
Le Bureau des Légendes;152. Le Bureau des Légendes (2015);8,6
Blackadder the Third;153. Blackadder the Third (1987);8,6
Archer;154. Archer (2009);8,6
Father Ted;155. Father Ted (1995);8,6
Justiça Jovem;156. Justiça Jovem (2010);8,6
Mindhunter;157. Mindhunter (2017);8,6
Anne com um E;158. Anne com um E (2017);8,6
Dexter;159. Dexter (2006);8,6
O Show do Pernalonga;160. O Show do Pernalonga (1960);8,6
Através do Buraco de Minhoca;161. Através do Buraco de Minhoca (2010);8,6
Demolidor;162. Demolidor (2015);8,6
QI;163. QI (2003);8,6
Behzat Ç.: Bir Ankara Polisiyesi;164. Behzat Ç.: Bir Ankara Polisiyesi (2010);8,6
Long Way Round;165. Long Way Round (2004);8,6
Monster;166. Monster (2004);8,6
Mind Your Language;167. Mind Your Language (1977);8,5
Umbre;168. Umbre (2014);8,5
North & South;169. North & South (2004);8,5
Yes Minister;170. Yes Minister (1980);8,5
The Newsroom;171. The Newsroom (2012);8,5
Making a Murderer;172. Making a Murderer (2015);8,5
8 em Istambul;173. 8 em Istambul (2020);8,5
Panchayat;174. Panchayat (2020);8,5
Content Cop;175. Content Cop (2015);8,5
Pose;176. Pose (2018);8,5
Poirot;177. Poirot (1989);8,5
Tudo Bem Não Ser Normal;178. Tudo Bem Não Ser Normal (2020);8,5
Spaced;179. Spaced (1999);8,5
Chaves;180. Chaves (1972);8,5
Dragon Ball;181. Dragon Ball (1986);8,5
Skam;182. Skam (2015);8,5
Brass Eye;183. Brass Eye (1997);8,5
Justified;184. Justified (2010);8,5
Yes, Prime Minister;185. Yes, Prime Minister (1986);8,5
Liga da Justiça;186. Liga da Justiça (2001);8,5
Dragon Ball;187. Dragon Ball (1995);8,5
Twin Peaks: O Retorno;188. Twin Peaks: O Retorno (2017);8,5
Neon Genesis Evangelion;189. Neon Genesis Evangelion (1995);8,5
Samurai Champloo;190. Samurai Champloo (2004);8,5
Boardwalk Empire: O Império do Contrabando;191. Boardwalk Empire: O Império do Contrabando (2010);8,5
Hora de Aventura;192. Hora de Aventura (2010);8,5
Pew News;193. Pew News (2018);8,5
Mr. Bean;194. Mr. Bean (1990);8,5
Fullmetal Alchemist;195. Fullmetal Alchemist (2003);8,5
