title;title_details;"	IMDb Rating"
Warrior;117. Warrior (2011);8.1
Inside Out;118. Inside Out (2015);8.1
No Country for Old Men;119. No Country for Old Men (2007);8.1
The Thing;120. The Thing (1982);8.1
Gone with the Wind;121. Gone with the Wind (1939);8.1
Trainspotting;122. Trainspotting (1996);8.1
The Sixth Sense;123. The Sixth Sense (1999);8.1
Jurassic Park;124. Jurassic Park (1993);8.1
The Truman Show;125. The Truman Show (1998);8.1
The Bridge on the River Kwai;126. The Bridge on the River Kwai (1957);8.1
The Message;127. The Message (1976);8.1
On the Waterfront;128. On the Waterfront (1954);8.1
Finding Nemo;129. Finding Nemo (2003);8.1
Blade Runner;130. Blade Runner (1982);8.1
The Third Man;131. The Third Man (1949);8.1
Kill Bill: Vol. 1;132. Kill Bill: Vol. 1 (2003);8.1
Mary and Max;133. Mary and Max (2009);8.1
Room;134. Room (2015);8.1
In the Name of the Father;135. In the Name of the Father (1993);8.1
Fargo;136. Fargo (1996);8.1
The Deer Hunter;137. The Deer Hunter (1978);8.1
Gran Torino;138. Gran Torino (2008);8.1
Before Sunrise;139. Before Sunrise (1995);8.1
Hacksaw Ridge;140. Hacksaw Ridge (2016);8.1
Mr. Smith Goes to Washington;141. Mr. Smith Goes to Washington (1939);8.1
Barry Lyndon;142. Barry Lyndon (1975);8.1
The Grand Budapest Hotel;143. The Grand Budapest Hotel (2014);8.1
Gone Girl;144. Gone Girl (2014);8.1
Catch Me If You Can;145. Catch Me If You Can (2002);8.1
Soul;146. Soul (2020);8.1
Ford v Ferrari;147. Ford v Ferrari (2019);8.1
Prisoners;148. Prisoners (2013);8.1
The Big Lebowski;149. The Big Lebowski (1998);8.1
How to Train Your Dragon;150. How to Train Your Dragon (2010);8.1
The Red Shoes;151. The Red Shoes (1948);8.1
Hachi: A Dog's Tale;152. Hachi: A Dog's Tale (2009);8.1
Network;153. Network (1976);8.1
12 Years a Slave;154. 12 Years a Slave (2013);8.1
White Heat;155. White Heat (1949);8.1
Cool Hand Luke;156. Cool Hand Luke (1967);8.1
Harry Potter and the Deathly Hallows: Part 2;157. Harry Potter and the Deathly Hallows: Part 2 (2011);8.1
Ben-Hur;158. Ben-Hur (1959);8.1
Mad Max: Fury Road;159. Mad Max: Fury Road (2015);8.1
Dead Poets Society;160. Dead Poets Society (1989);8.1
Inherit the Wind;161. Inherit the Wind (1960);8.1
Ace in the Hole;162. Ace in the Hole (1951);8.1
Stand by Me;163. Stand by Me (1986);8.1
Song of the Sea;164. Song of the Sea (2014);8.1
Million Dollar Baby;165. Million Dollar Baby (2004);8.1
Logan;166. Logan (2017);8.1
Into the Wild;167. Into the Wild (2007);8.1
Rush;168. Rush (2013);8.1
The Legend of 1900;169. The Legend of 1900 (1998);8.1
Platoon;170. Platoon (1986);8.1
Monty Python's Life of Brian;171. Monty Python's Life of Brian (1979);8.1
Rebecca;172. Rebecca (1940);8.1
Sunrise;173. Sunrise (1927);8.1
Hotel Rwanda;174. Hotel Rwanda (2004);8.1
The Man Who Shot Liberty Valance;175. The Man Who Shot Liberty Valance (1962);8.1
Paris, Texas;176. Paris, Texas (1984);8.1
Spotlight;177. Spotlight (2015);8.1
It Happened One Night;178. It Happened One Night (1934);8.1
Rocky;179. Rocky (1976);8.0
What Ever Happened to Baby Jane?;180. What Ever Happened to Baby Jane? (1962);8.0
Monsters, Inc.;181. Monsters, Inc. (2001);8.0
Before Sunset;182. Before Sunset (2004);8.0
The Shop Around the Corner;183. The Shop Around the Corner (1940);8.0
Paper Moon;184. Paper Moon (1973);8.0
The Princess Bride;185. The Princess Bride (1987);8.0
The Help;186. The Help (2011);8.0
Pink Floyd: The Wall;187. Pink Floyd: The Wall (1982);8.0
The Grapes of Wrath;188. The Grapes of Wrath (1940);8.0
Lion;189. Lion (2016);8.0
Scent of a Woman;190. Scent of a Woman (1992);8.0
Aladdin;191. Aladdin (1992);8.0
All Quiet on the Western Front;192. All Quiet on the Western Front (1930);8.0
Roman Holiday;193. Roman Holiday (1953);8.0
Guardians of the Galaxy;194. Guardians of the Galaxy (2014);8.0
Gandhi;195. Gandhi (1982);8.0
Sweet Smell of Success;196. Sweet Smell of Success (1957);8.0
Butch Cassidy and the Sundance Kid;197. Butch Cassidy and the Sundance Kid (1969);8.0
Pirates of the Caribbean: The Curse of the Black Pearl;198. Pirates of the Caribbean: The Curse of the Black Pearl (2003);8.0
The Terminator;199. The Terminator (1984);8.0
The Best Years of Our Lives;200. The Best Years of Our Lives (1946);8.0
Dogville;201. Dogville (2003);8.0
The Exorcist;202. The Exorcist (1973);8.0
The Iron Giant;203. The Iron Giant (1999);8.0
Papillon;204. Papillon (1973);8.0
Beauty and the Beast;205. Beauty and the Beast (1991);8.0
Groundhog Day;206. Groundhog Day (1993);8.0
Dog Day Afternoon;207. Dog Day Afternoon (1975);8.0
The Sound of Music;208. The Sound of Music (1965);8.0
The Imitation Game;209. The Imitation Game (2014);8.0
Donnie Darko;210. Donnie Darko (2001);8.0
Brief Encounter;211. Brief Encounter (1945);8.0
Jaws;212. Jaws (1975);8.0
Anatomy of a Murder;213. Anatomy of a Murder (1959);8.0
The Wizard of Oz;214. The Wizard of Oz (1939);8.0
Young Frankenstein;215. Young Frankenstein (1974);8.0
JFK;216. JFK (1991);8.0
Dances with Wolves;217. Dances with Wolves (1990);8.0
The Incredibles;218. The Incredibles (2004);8.0
Ratatouille;219. Ratatouille (2007);8.0
The Bourne Ultimatum;220. The Bourne Ultimatum (2007);8.0
Zootopia;221. Zootopia (2016);8.0
Rain Man;222. Rain Man (1988);8.0
The Avengers;223. The Avengers (2012);8.0
Rosemary's Baby;224. Rosemary's Baby (1968);8.0
Kind Hearts and Coronets;225. Kind Hearts and Coronets (1949);8.0
The Night of the Hunter;226. The Night of the Hunter (1955);8.0
Magnolia;227. Magnolia (1999);8.0
Kill Bill: Vol. 2;228. Kill Bill: Vol. 2 (2004);8.0
La La Land;229. La La Land (2016);8.0
12 Monkeys;230. 12 Monkeys (1995);8.0
Out of the Past;231. Out of the Past (1947);8.0
Who's Afraid of Virginia Woolf?;232. Who's Afraid of Virginia Woolf? (1966);8.0
Blood Diamond;233. Blood Diamond (2006);8.0
The Pursuit of Happyness;234. The Pursuit of Happyness (2006);8.0
The Martian;235. The Martian (2015);8.0
Her;236. Her (2013);8.0
Fiddler on the Roof;237. Fiddler on the Roof (1971);8.0
The King's Speech;238. The King's Speech (2010);8.0
Blade Runner 2049;239. Blade Runner 2049 (2017);8.0
